Dystans do przejscia: 50, dlugosc kroku: 1
102: (x,y) = (5.89774, 0.0022853)
103: (x,y) = (5.06843, -0.00971282)
104: (x,y) = (4.0716, -0.00155843)
105: (x,y) = (5.01264, -0.00593174)
106: (x,y) = (4.01655, 0.0014388)
107: (x,y) = (4.80427, -0.0107268)
108: (x,y) = (5.14673, 0.0162107)
109: (x,y) = (5.49753, -0.0160612)
110: (x,y) = (5.78964, 0.0164117)
111: (x,y) = (6.6735, 0.00845013)
112: (x,y) = (6.78392, -0.0171991)
113: (x,y) = (7.5877, 0.0100834)
114: (x,y) = (6.91421, -0.0127255)
115: (x,y) = (6.49806, 0.0156481)
116: (x,y) = (5.51528, 0.00349764)
117: (x,y) = (5.78192, 0.0168824)
118: (x,y) = (5.2122, -0.0140491)
119: (x,y) = (5.44456, 0.0167304)
120: (x,y) = (5.76198, -0.0162586)
121: (x,y) = (5.43618, 0.0162172)
122: (x,y) = (6.10968, -0.0126181)
123: (x,y) = (7.07693, 0.00421034)
124: (x,y) = (6.30026, -0.0109205)
125: (x,y) = (6.7483, 0.0154128)
126: (x,y) = (7.55733, -0.00998953)
127: (x,y) = (7.98151, -0.0159797)
128: (x,y) = (7.03464, -0.00589227)
129: (x,y) = (6.88042, -0.0173473)
130: (x,y) = (5.89764, 0.00292176)
131: (x,y) = (6.33778, -0.0156208)
132: (x,y) = (7.26625, -0.00675486)
133: (x,y) = (8.22885, 0.00461081)
134: (x,y) = (9.1363, 0.00741377)
135: (x,y) = (8.48265, -0.0130793)
136: (x,y) = (9.4823, -0.000691156)
137: (x,y) = (9.56626, 0.0173796)
138: (x,y) = (8.6588, 0.00763615)
139: (x,y) = (8.91693, -0.0167285)
140: (x,y) = (9.88639, -0.00457242)
141: (x,y) = (10.5793, 0.012505)
142: (x,y) = (11.149, -0.0141252)
143: (x,y) = (11.7332, -0.0144117)
144: (x,y) = (10.7952, 0.00579815)
145: (x,y) = (10.5285, 0.0169225)
146: (x,y) = (10.0032, 0.0151461)
147: (x,y) = (9.90158, 0.0176273)
148: (x,y) = (10.0208, 0.0176366)
149: (x,y) = (10.9857, -0.00427149)
150: (x,y) = (11.8654, -0.00837401)
151: (x,y) = (12.6308, -0.011378)
152: (x,y) = (12.1359, 0.0149675)
153: (x,y) = (12.9397, 0.0106448)
154: (x,y) = (13.0852, 0.0174534)
155: (x,y) = (12.1041, -0.00307213)
156: (x,y) = (11.9761, -0.0173634)
157: (x,y) = (11.3706, 0.0135864)
158: (x,y) = (12.2544, 0.00840082)
159: (x,y) = (11.6008, -0.0130621)
160: (x,y) = (12.5259, 0.00639792)
161: (x,y) = (12.9976, -0.0152784)
162: (x,y) = (12.8346, 0.0169532)
163: (x,y) = (12.0469, -0.0104565)
164: (x,y) = (11.6068, -0.0158545)
165: (x,y) = (11.0154, 0.0137976)
166: (x,y) = (10.1079, 0.00757363)
167: (x,y) = (10.5718, 0.0155947)
168: (x,y) = (10.5585, 0.0177239)
169: (x,y) = (10.2327, 0.0168103)
170: (x,y) = (9.77672, -0.0152402)
171: (x,y) = (10.5589, 0.0106076)
172: (x,y) = (9.78785, 0.0112983)
173: (x,y) = (8.8206, 0.00462725)
174: (x,y) = (7.8826, 0.00613044)
175: (x,y) = (8.54951, 0.013112)
176: (x,y) = (8.07789, -0.0151614)
177: (x,y) = (8.02042, -0.0176891)
178: (x,y) = (7.43623, -0.0144742)
179: (x,y) = (7.63402, 0.0168559)
180: (x,y) = (7.7532, 0.0176231)
181: (x,y) = (8.35872, 0.0141973)
182: (x,y) = (9.20728, 0.00948247)
183: (x,y) = (10.1649, -0.00485886)
184: (x,y) = (9.47205, 0.0124997)
185: (x,y) = (8.66826, 0.0106013)
186: (x,y) = (7.85406, 0.0103182)
187: (x,y) = (7.44595, 0.0161138)
188: (x,y) = (7.97127, 0.0151323)
189: (x,y) = (8.81512, -0.00910086)
190: (x,y) = (9.12412, 0.0164404)
191: (x,y) = (9.92261, -0.0102199)
192: (x,y) = (10.0506, -0.0174881)
193: (x,y) = (9.15859, 0.00758364)
194: (x,y) = (8.58159, 0.0143872)
195: (x,y) = (8.01913, 0.014682)
196: (x,y) = (8.89028, -0.00831369)
197: (x,y) = (9.88965, 0.000472716)
198: (x,y) = (10.8148, 0.00663414)
199: (x,y) = (10.3667, 0.015719)
200: (x,y) = (11.3661, 0.000892165)
201: (x,y) = (10.3924, -0.0039652)
202: (x,y) = (10.7515, 0.0162203)
203: (x,y) = (11.7449, -0.00172028)
204: (x,y) = (12.3644, 0.0136705)
205: (x,y) = (12.977, -0.0135567)
206: (x,y) = (13.9629, 0.0026843)
207: (x,y) = (14.5326, -0.0142966)
208: (x,y) = (13.6406, 0.00763935)
209: (x,y) = (12.7874, -0.0089699)
210: (x,y) = (12.9066, 0.0171723)
211: (x,y) = (13.4763, -0.0140437)
212: (x,y) = (13.1008, 0.0159307)
213: (x,y) = (12.5906, 0.0152888)
214: (x,y) = (12.3928, 0.0173752)
215: (x,y) = (13.2413, 0.00953794)
216: (x,y) = (14.0067, -0.0110654)
217: (x,y) = (14.9416, -0.00638748)
218: (x,y) = (13.9426, -0.000883663)
219: (x,y) = (14.5759, 0.0134915)
220: (x,y) = (14.6422, 0.0176504)
221: (x,y) = (14.3586, -0.0164285)
222: (x,y) = (14.3807, -0.0177358)
223: (x,y) = (15.0344, 0.0128995)
224: (x,y) = (15.03, -0.017228)
225: (x,y) = (15.4381, 0.0156332)
226: (x,y) = (14.6038, 0.00989662)
227: (x,y) = (13.9913, -0.0136229)
228: (x,y) = (13.4735, -0.0151694)
229: (x,y) = (12.7196, 0.0112014)
230: (x,y) = (13.6636, 0.00595493)
231: (x,y) = (14.5887, 0.00672982)
232: (x,y) = (15.5877, -0.000654197)
233: (x,y) = (15.6187, 0.0174335)
234: (x,y) = (14.7307, -0.00772256)
235: (x,y) = (14.9458, 0.0169099)
236: (x,y) = (14.809, 0.0175844)
237: (x,y) = (15.7692, -0.00456981)
238: (x,y) = (15.0512, 0.0120688)
239: (x,y) = (15.5614, 0.0152217)
240: (x,y) = (16.033, -0.0151244)
241: (x,y) = (15.043, 0.00219904)
242: (x,y) = (15.4752, 0.0157778)
243: (x,y) = (16.4686, -0.001728)
244: (x,y) = (16.8686, -0.0160263)
245: (x,y) = (17.8661, 0.000955148)
246: (x,y) = (18.8629, -0.00137171)
247: (x,y) = (19.2137, -0.0163681)
248: (x,y) = (19.6218, 0.0156482)
249: (x,y) = (19.2545, -0.0159603)
250: (x,y) = (19.5041, 0.0166226)
251: (x,y) = (20.3334, -0.00946215)
252: (x,y) = (21.2408, 0.00716815)
253: (x,y) = (21.9077, 0.0131301)
254: (x,y) = (22.3558, 0.0158326)
255: (x,y) = (22.5536, 0.0173848)
256: (x,y) = (21.7659, -0.0104489)
257: (x,y) = (21.233, -0.0149517)
258: (x,y) = (20.2729, -0.00513818)
259: (x,y) = (19.3511, -0.00685823)
260: (x,y) = (20.2951, 0.00563973)
261: (x,y) = (20.7273, 0.0158378)
262: (x,y) = (21.7263, -0.000495232)
263: (x,y) = (22.6183, 0.00788069)
264: (x,y) = (22.6758, -0.0172869)
265: (x,y) = (23.4689, 0.0103285)
266: (x,y) = (22.8153, -0.0130284)
267: (x,y) = (22.7137, 0.0171356)
268: (x,y) = (23.2979, -0.0138661)
269: (x,y) = (22.5156, 0.0106312)
270: (x,y) = (23.5156, 3.15909e-05)
271: (x,y) = (23.8162, -0.0166456)
272: (x,y) = (23.306, 0.0147203)
273: (x,y) = (23.0054, -0.0163894)
274: (x,y) = (24.0029, 0.000948811)
275: (x,y) = (24.914, 0.00720986)
276: (x,y) = (23.9142, 0.000434267)
277: (x,y) = (23.3889, 0.0148584)
278: (x,y) = (23.4287, -0.0171801)
279: (x,y) = (23.8767, 0.0153036)
280: (x,y) = (23.3364, -0.0144196)
281: (x,y) = (23.0023, -0.0167018)
282: (x,y) = (23.7445, 0.0114062)
283: (x,y) = (24.0953, -0.0161451)
284: (x,y) = (24.1704, -0.0176857)
285: (x,y) = (24.3159, 0.016959)
286: (x,y) = (25.0088, 0.0128808)
287: (x,y) = (26.0031, 0.00207517)
288: (x,y) = (25.2209, 0.0109094)
289: (x,y) = (25.5717, -0.0161538)
290: (x,y) = (25.7172, 0.0169857)
291: (x,y) = (26.3573, -0.0131118)
292: (x,y) = (25.5088, 0.00900539)
293: (x,y) = (24.5088, 0.000156648)
294: (x,y) = (25.0036, 0.015169)
295: (x,y) = (25.6965, 0.0128496)
296: (x,y) = (26.6865, 0.0026878)
297: (x,y) = (26.6821, -0.0174062)
298: (x,y) = (27.5444, -0.00914154)
299: (x,y) = (27.0041, -0.0148463)
300: (x,y) = (27.7638, 0.0110909)
301: (x,y) = (28.4175, -0.0130148)
302: (x,y) = (29.091, -0.0131283)
303: (x,y) = (29.9, -0.0104877)
304: (x,y) = (30.4102, 0.014828)
305: (x,y) = (30.8021, 0.0163163)
306: (x,y) = (31.8019, 0.00059373)
307: (x,y) = (32.6457, -0.0093546)
308: (x,y) = (31.6457, -0.000163795)
309: (x,y) = (32.0295, -0.01612)
310: (x,y) = (32.7834, 0.0111852)
311: (x,y) = (31.8208, 0.00492342)
312: (x,y) = (32.7492, -0.00639629)
313: (x,y) = (32.1795, -0.0144554)
314: (x,y) = (32.7048, 0.0145988)
315: (x,y) = (33.6008, -0.00749596)
316: (x,y) = (34.4494, 0.00910385)
317: (x,y) = (33.5311, 0.00706909)
318: (x,y) = (32.9614, -0.0142203)
319: (x,y) = (32.5941, -0.0164816)
320: (x,y) = (31.9206, -0.0131891)
321: (x,y) = (32.8646, 0.00552923)
322: (x,y) = (32.0769, -0.0106558)
323: (x,y) = (32.9111, 0.00943823)
324: (x,y) = (32.6615, 0.0170657)
325: (x,y) = (31.9135, -0.0112847)
326: (x,y) = (31.6298, -0.0169335)
327: (x,y) = (30.6697, -0.00517277)
328: (x,y) = (29.6711, 0.000835676)
329: (x,y) = (29.2389, 0.0157538)
330: (x,y) = (29.8231, -0.0138902)
331: (x,y) = (29.4806, 0.0161553)
332: (x,y) = (30.4665, 0.00320287)
333: (x,y) = (29.6575, -0.0102031)
334: (x,y) = (29.8292, -0.0173721)
335: (x,y) = (29.3891, -0.0159752)
336: (x,y) = (28.4219, 0.00415123)
337: (x,y) = (28.444, -0.0173766)
338: (x,y) = (28.8358, 0.0157542)
339: (x,y) = (28.0705, -0.0109573)
340: (x,y) = (29.0665, 0.00135161)
341: (x,y) = (28.3363, 0.0119484)
342: (x,y) = (27.6184, 0.0123571)
343: (x,y) = (27.6759, -0.0172087)
344: (x,y) = (28.5197, -0.00966531)
345: (x,y) = (29.3128, 0.0104615)
346: (x,y) = (30.0246, -0.0120764)
347: (x,y) = (30.849, 0.00966967)
348: (x,y) = (30.5909, -0.0166932)
349: (x,y) = (30.1909, -0.0162877)
350: (x,y) = (31.1908, -0.000438232)
351: (x,y) = (31.9389, -0.0115899)
352: (x,y) = (32.5159, 0.0140529)
353: (x,y) = (32.4938, -0.0172038)
354: (x,y) = (33.4489, 0.00487235)
355: (x,y) = (32.605, -0.00928037)
356: (x,y) = (32.636, 0.017283)
357: (x,y) = (32.5785, -0.0171228)
358: (x,y) = (32.4593, 0.01703)
359: (x,y) = (32.7345, -0.0164822)
360: (x,y) = (33.7343, 2.12886e-05)
361: (x,y) = (33.9408, -0.0170768)
362: (x,y) = (33.1986, 0.0113993)
363: (x,y) = (34.1537, 0.00537156)
364: (x,y) = (33.366, -0.0106586)
365: (x,y) = (33.0069, 0.0161033)
366: (x,y) = (33.9321, 0.00690695)
367: (x,y) = (34.9114, 0.00364873)
368: (x,y) = (34.4476, 0.015526)
369: (x,y) = (33.4476, 0.000116495)
370: (x,y) = (33.3813, 0.0174169)
371: (x,y) = (33.2271, -0.0169405)
372: (x,y) = (34.1768, 0.00517121)
373: (x,y) = (34.7021, 0.0149413)
374: (x,y) = (34.865, 0.0174808)
375: (x,y) = (33.8777, -0.00246339)
376: (x,y) = (34.0581, 0.0171239)
377: (x,y) = (35.0132, 0.00547148)
378: (x,y) = (35.3138, -0.0165506)
379: (x,y) = (34.3821, 0.00604967)
380: (x,y) = (34.1756, -0.0169717)
381: (x,y) = (35.1253, 0.00517066)
382: (x,y) = (34.8079, -0.0164606)
383: (x,y) = (35.7296, -0.00705536)
384: (x,y) = (34.767, 0.00460506)
385: (x,y) = (35.2619, 0.0152467)
386: (x,y) = (35.9981, -0.0115454)
387: (x,y) = (36.9978, -0.000664384)
388: (x,y) = (37.9968, -0.00078325)
389: (x,y) = (37.957, -0.0174531)
390: (x,y) = (37.5248, 0.0154346)
391: (x,y) = (37.0689, -0.0152642)
392: (x,y) = (37.2318, 0.0169536)
393: (x,y) = (37.5743, 0.0166938)
394: (x,y) = (38.2672, 0.0128762)
395: (x,y) = (38.6833, 0.0160952)
396: (x,y) = (39.6733, 0.00274444)
397: (x,y) = (38.706, 0.00447795)
398: (x,y) = (39.0235, -0.0164725)
399: (x,y) = (38.6644, 0.0160018)
400: (x,y) = (39.6578, -0.00172409)
401: (x,y) = (38.9522, 0.0123383)
402: (x,y) = (39.9409, 0.0028312)
403: (x,y) = (40.0161, -0.0173545)
404: (x,y) = (39.0844, 0.00603564)
405: (x,y) = (40.0744, -0.00235715)
406: (x,y) = (39.7486, 0.0164598)
407: (x,y) = (40.3955, 0.0135964)
408: (x,y) = (40.7379, 0.0166352)
409: (x,y) = (40.1324, 0.0141798)
410: (x,y) = (39.1324, 0.000246958)
411: (x,y) = (38.4589, -0.0128972)
412: (x,y) = (39.2011, 0.0114726)
413: (x,y) = (38.5018, -0.0122771)
414: (x,y) = (37.7141, -0.0109666)
415: (x,y) = (38.5809, 0.00851324)
416: (x,y) = (38.086, 0.0153146)
417: (x,y) = (37.2718, 0.0104004)
418: (x,y) = (36.2743, 0.00141586)
419: (x,y) = (35.7266, 0.0146271)
420: (x,y) = (34.7266, 0.000100807)
421: (x,y) = (35.7219, -0.00169438)
422: (x,y) = (34.9679, 0.0114366)
423: (x,y) = (35.6479, 0.0129965)
424: (x,y) = (34.7262, -0.00654172)
425: (x,y) = (34.9757, 0.016787)
426: (x,y) = (34.6921, -0.0164435)
427: (x,y) = (33.7048, -0.00305548)
428: (x,y) = (34.6649, -0.00493005)
429: (x,y) = (35.6322, 0.00434452)
430: (x,y) = (36.0723, -0.015596)
431: (x,y) = (35.3988, -0.0131737)
432: (x,y) = (35.1665, 0.0167456)
433: (x,y) = (36.1314, -0.00428704)
434: (x,y) = (35.4197, -0.0123342)
435: (x,y) = (34.8868, -0.0149846)
436: (x,y) = (35.2705, -0.0163787)
437: (x,y) = (35.6947, -0.0160912)
438: (x,y) = (34.6979, -0.00166975)
439: (x,y) = (34.3638, -0.0164793)
440: (x,y) = (35.0939, 0.0116375)
441: (x,y) = (36.0224, -0.00627911)
442: (x,y) = (35.8073, 0.016935)
443: (x,y) = (36.355, 0.0148983)
444: (x,y) = (37.1427, -0.0104919)
445: (x,y) = (36.1427, -0.000183645)
446: (x,y) = (36.5589, -0.0158732)
447: (x,y) = (35.6477, 0.00691578)
448: (x,y) = (34.7193, -0.00636201)
449: (x,y) = (35.599, -0.00841049)
450: (x,y) = (35.5503, 0.0172858)
451: (x,y) = (36.539, 0.00291755)
452: (x,y) = (36.8648, 0.0165521)
453: (x,y) = (35.8648, 0.000134403)
454: (x,y) = (36.6892, 0.00988279)
455: (x,y) = (37.6586, -0.00410797)
456: (x,y) = (36.7789, -0.00837161)
457: (x,y) = (36.061, 0.0120024)
458: (x,y) = (36.6665, 0.0140992)
459: (x,y) = (37.6633, -0.00114231)
460: (x,y) = (36.6665, -0.00140885)
461: (x,y) = (35.689, -0.00370393)
462: (x,y) = (34.6956, -0.00206854)
463: (x,y) = (35.5199, 0.00984434)
464: (x,y) = (36.5027, 0.00339687)
465: (x,y) = (35.545, -0.00496557)
466: (x,y) = (34.5694, 0.00374303)
467: (x,y) = (35.4179, 0.00930001)
468: (x,y) = (34.5694, 0.00939655)
469: (x,y) = (35.2095, -0.0132442)
470: (x,y) = (34.5361, -0.0131326)
471: (x,y) = (33.7376, -0.0107365)
472: (x,y) = (34.5999, -0.00902514)
473: (x,y) = (35.5649, -0.00473682)
474: (x,y) = (36.1633, -0.0140651)
475: (x,y) = (37.1627, 0.000372334)
476: (x,y) = (38.0382, 0.00844199)
477: (x,y) = (37.0382, 0.000146814)
478: (x,y) = (38.0381, -0.000151396)
479: (x,y) = (38.0868, 0.01743)
480: (x,y) = (37.0868, 0.000149726)
481: (x,y) = (37.511, -0.0158027)
482: (x,y) = (36.6578, -0.00937904)
483: (x,y) = (36.5298, -0.0174735)
484: (x,y) = (35.7105, -0.0103124)
485: (x,y) = (36.2207, 0.0148311)
486: (x,y) = (35.2767, 0.00601778)
487: (x,y) = (35.2369, -0.0173344)
488: (x,y) = (34.2743, 0.00442565)
489: (x,y) = (34.9412, 0.0130823)
490: (x,y) = (35.9312, -0.00223416)
491: (x,y) = (35.1658, -0.0112713)
492: (x,y) = (35.0818, 0.0171949)
493: (x,y) = (34.2525, -0.0094526)
494: (x,y) = (35.2524, 0.000143978)
495: (x,y) = (36.2476, -0.00169363)
496: (x,y) = (35.8803, -0.016263)
497: (x,y) = (35.0713, -0.0105428)
498: (x,y) = (34.7623, 0.016415)
499: (x,y) = (35.4488, -0.0124045)
500: (x,y) = (36.3408, 0.00767284)
501: (x,y) = (35.8692, -0.0152564)
502: (x,y) = (36.4887, 0.0134342)
503: (x,y) = (37.4799, -0.0020755)
504: (x,y) = (37.5551, -0.0174401)
505: (x,y) = (37.718, 0.0169156)
506: (x,y) = (38.718, 0.000295233)
507: (x,y) = (37.7307, -0.00276334)
508: (x,y) = (37.6997, 0.0173967)
509: (x,y) = (37.9578, -0.0165582)
510: (x,y) = (37.4707, -0.0155312)
511: (x,y) = (38.333, -0.00910882)
512: (x,y) = (39.3158, 0.00306607)
513: (x,y) = (39.6831, -0.0161797)
514: (x,y) = (38.7334, 0.00518398)
515: (x,y) = (38.3826, -0.0162539)
516: (x,y) = (37.3893, -0.00228758)
517: (x,y) = (38.3792, 0.0024236)
518: (x,y) = (37.4575, -0.00672625)
519: (x,y) = (38.4126, 0.00505521)
520: (x,y) = (37.4165, 0.00163055)
521: (x,y) = (37.359, -0.017396)
522: (x,y) = (38.1187, 0.0110464)
523: (x,y) = (37.2307, -0.00783403)
524: (x,y) = (37.4974, 0.0166847)
525: (x,y) = (37.431, 0.0177061)
526: (x,y) = (37.5853, -0.0169354)
527: (x,y) = (37.2931, 0.0163963)
528: (x,y) = (36.5752, 0.0124347)
529: (x,y) = (35.704, -0.00835338)
530: (x,y) = (36.6899, 0.00277511)
531: (x,y) = (36.4835, -0.0170289)
532: (x,y) = (37.3078, 0.00958323)
533: (x,y) = (38.1517, -0.00919771)
534: (x,y) = (39.0591, 0.00717277)
535: (x,y) = (40.0591, 0.000125188)
536: (x,y) = (40.9345, 0.00843767)
537: (x,y) = (40.329, 0.0140367)
538: (x,y) = (39.7234, 0.0141344)
539: (x,y) = (39.8689, 0.0175143)
540: (x,y) = (39.115, 0.0117719)
541: (x,y) = (38.4094, 0.0125739)
542: (x,y) = (37.5427, 0.00892364)
543: (x,y) = (37.8093, 0.0169771)
544: (x,y) = (38.4148, 0.0141861)
545: (x,y) = (38.9918, 0.0145027)
546: (x,y) = (39.3673, 0.0164292)
547: (x,y) = (40.1711, 0.0106703)
548: (x,y) = (40.4206, 0.0170874)
549: (x,y) = (39.6667, 0.0117644)
550: (x,y) = (38.9187, -0.0113773)
551: (x,y) = (39.8813, 0.00453013)
552: (x,y) = (40.7006, -0.0099279)
553: (x,y) = (40.2134, -0.0154154)
554: (x,y) = (39.6583, -0.0147866)
555: (x,y) = (38.9281, 0.0116667)
556: (x,y) = (39.9234, -0.00149252)
557: (x,y) = (40.426, -0.0151151)
558: (x,y) = (41.3609, -0.00645816)
559: (x,y) = (42.272, 0.00708059)
560: (x,y) = (43.1431, -0.00844636)
561: (x,y) = (42.218, 0.00647799)
562: (x,y) = (42.7877, -0.0142304)
563: (x,y) = (41.7879, 6.00641e-05)
564: (x,y) = (41.7835, -0.0174521)
565: (x,y) = (42.1996, 0.0155659)
566: (x,y) = (41.5261, -0.0126298)
567: (x,y) = (40.5486, -0.00389977)
568: (x,y) = (40.4735, -0.017472)
569: (x,y) = (40.6972, -0.0173157)
570: (x,y) = (40.2731, -0.0161078)
571: (x,y) = (40.7984, 0.0145699)
572: (x,y) = (40.319, 0.0155709)
573: (x,y) = (40.7828, 0.0157343)
574: (x,y) = (40.1702, -0.013521)
575: (x,y) = (41.1625, 0.00192129)
576: (x,y) = (41.6027, -0.0156383)
577: (x,y) = (41.7394, 0.0170164)
578: (x,y) = (41.1992, -0.0143897)
579: (x,y) = (40.2048, 0.00159868)
580: (x,y) = (41.0715, 0.00873254)
581: (x,y) = (41.4553, -0.0159648)
582: (x,y) = (40.6021, -0.00938187)
583: (x,y) = (39.6395, 0.00456445)
584: (x,y) = (40.6395, 7.96647e-05)
585: (x,y) = (40.1369, -0.0150879)
586: (x,y) = (39.1375, 0.000353958)
587: (x,y) = (39.0183, 0.017335)
588: (x,y) = (38.7946, -0.0167083)
589: (x,y) = (39.6431, 0.00894307)
590: (x,y) = (38.6572, 0.00307648)
591: (x,y) = (39.2049, 0.0146564)
592: (x,y) = (38.3426, -0.0085824)
593: (x,y) = (38.5318, -0.0172881)
594: (x,y) = (39.019, -0.0155436)
595: (x,y) = (39.9569, 0.00577889)
596: (x,y) = (40.9381, -0.00327537)
597: (x,y) = (40.0758, -0.00889537)
598: (x,y) = (40.7937, 0.0119936)
599: (x,y) = (41.7155, -0.00655874)
600: (x,y) = (41.1677, 0.0144879)
601: (x,y) = (41.5268, 0.0165424)
602: (x,y) = (41.4958, 0.0177336)
603: (x,y) = (40.5071, 0.00292484)
604: (x,y) = (41.4481, -0.00585349)
605: (x,y) = (42.3149, 0.00860248)
606: (x,y) = (43.2223, 0.00748344)
607: (x,y) = (43.4633, -0.0168083)
608: (x,y) = (43.4943, 0.0171516)
609: (x,y) = (43.1601, -0.0161508)
610: (x,y) = (44.0481, -0.00830825)
611: (x,y) = (44.9556, 0.00718829)
612: (x,y) = (44.8452, -0.0172212)
613: (x,y) = (44.0467, -0.0108079)
614: (x,y) = (45.0117, -0.00476794)
615: (x,y) = (44.0117, -8.37423e-05)
616: (x,y) = (43.3783, 0.0135051)
617: (x,y) = (43.4623, 0.0176274)
618: (x,y) = (43.3081, -0.0169368)
619: (x,y) = (43.5232, 0.0167491)
620: (x,y) = (42.9534, -0.0140514)
621: (x,y) = (43.3856, 0.0154942)
622: (x,y) = (43.7114, 0.0167716)
623: (x,y) = (43.0185, 0.0128772)
624: (x,y) = (43.1727, -0.0170197)
625: (x,y) = (44.14, 0.00413351)
626: (x,y) = (43.5204, 0.0137723)
627: (x,y) = (44.4001, -0.00805908)
628: (x,y) = (45.3976, 0.0010942)
629: (x,y) = (44.3986, -0.000753083)
630: (x,y) = (44.0149, -0.0161305)
631: (x,y) = (44.9434, -0.00676376)
632: (x,y) = (44.7543, -0.0172564)
633: (x,y) = (43.7992, 0.00487092)
634: (x,y) = (44.2153, 0.0159555)
